X,author,title,type,start,end,words,kind
4284,"More, Thomas, Saint",Utopia,sentence,2647,2840,They are not so baseminded said he but that they would willingly do it many of them have already done it by their books if those that are in power would but hearken to their good advice,NA
4747,"More, Thomas, Saint",Utopia,sentence,2649,2984,But though they so vigorously assist their friends in obtaining reparation for the injuries they have received in affairs of this nature yet if any such frauds were committed against themselves provided no violence was done to their persons they would only on their being refused satisfaction forbear trading with such a people,NA
4766,"More, Thomas, Saint",Utopia,sentence,2653,2833,If this method does not succeed with them then they sow seeds of contention among their enemies and animate the princes brother or some of the nobility to aspire to the crown,NA
4693,"More, Thomas, Saint",Utopia,sentence,2660,2967,I have already told you with what care they look after their sick so that nothing is left undone that can contribute either to their case or health and for those who are taken with fixed and incurable diseases they use all possible ways to cherish them and to make their lives as comfortable as possible,NA
4890,"More, Thomas, Saint",Utopia,sentence,2662,2855,When this prayer is ended they all fall down again upon the ground and after a little while they rise up go home to dinner and spend the rest of the day in diversion or military exercises,NA
4660,"More, Thomas, Saint",Utopia,sentence,2671,3105,They also entertain themselves with the other delights let in at their eyes their ears and their nostrils as the pleasant relishes and seasoning of life which Nature seems to have marked out peculiarly for man since no other sort of animals contemplates the figure and beauty of the universe nor is delighted with smells any further than as they distinguish meats by them nor do they apprehend the concords or discords of sound,NA
4376,"More, Thomas, Saint",Utopia,sentence,2685,2791,I do not deny but we are more ingenious than they are but they exceed us much in industry and application,NA
4802,"More, Thomas, Saint",Utopia,sentence,2689,2810,They have no swords but fight with a poleaxe that is both sharp and heavy by which they thrust or strike down an enemy,NA
4430,"More, Thomas, Saint",Utopia,sentence,2692,2769,The Anider rises about eighty miles above Amaurot in a small spring at first,NA
4708,"More, Thomas, Saint",Utopia,sentence,2692,3295,But it frequently falls out that when a married couple do not well agree they by mutual consent separate and find out other persons with whom they hope they may live more happily yet this is not done without obtaining leave of the Senate which never admits of a divorce but upon a strict inquiry made both by the senators and their wives into the grounds upon which it is desired and even when they are satisfied concerning the reasons of it they go on but slowly for they imagine that too great easiness in granting leave for new marriages would very much shake the kindness of married people,NA
4834,"More, Thomas, Saint",Utopia,sentence,2701,2862,They never raise any that hold these maxims either to honours or offices nor employ them in any public trust but despise them as men of base and sordid minds,NA
4041,"More, Thomas, Saint",Utopia,entity,2702,2710,John Colt,person
4326,"More, Thomas, Saint",Utopia,sentence,2711,3050,If a king should fall under such contempt or envy that he could not keep his subjects in their duty but by oppression and ill usage and by rendering them poor and miserable it were certainly better for him to quit his kingdom than to retain it by such methods as make him while he keeps the name of authority lose the majesty due to it,NA
4488,"More, Thomas, Saint",Utopia,sentence,2711,3226,The building or the repairing of houses among us employ many hands because often a thriftless heir suffers a house that his father built to fall into decay so that his successor must at a great cost repair that which he might have kept up with a small charge it frequently happens that the same house which one person built at a vast expense is neglected by another who thinks he has a more delicate sense of the beauties of architecture and he suffering it to fall to ruin builds another at no less charge,NA
4217,"More, Thomas, Saint",Utopia,sentence,2728,2894,The rich do not breed cattle as they do sheep but buy them lean and at low prices and after they have fattened them on their grounds sell them again at high rates,NA
4061,"More, Thomas, Saint",Utopia,entity,2729,2733,Essex,location
4569,"More, Thomas, Saint",Utopia,sentence,2730,2780,this I believe is one of the ambassadors fools,NA
4352,"More, Thomas, Saint",Utopia,sentence,2732,3533,You are not obliged to assault people with discourses that are out of their road when you see that their received notions must prevent your making an impression upon them you ought rather to cast about and to manage things with all the dexterity in your power so that if you are not able to make them go well they may be as little ill as possible for except all men were good everything cannot be right and that is a blessing that I do not at present hope to see  According to your argument answered he all that I could be able to do would be to preserve myself from being mad while I endeavoured to cure the madness of others for if I speak with I must repeat what I have said to you and as for lying whether a philosopher can do it or not I cannot tell I am sure I cannot do it,NA
4602,"More, Thomas, Saint",Utopia,sentence,2732,3042,They also observe that in order to our supporting the pleasures of life Nature inclines us to enter into society for there is no man so much raised above the rest of mankind as to be the only favourite of Nature who on the contrary seems to have placed on a level all those that belong to the same species,NA
4724,"More, Thomas, Saint",Utopia,sentence,2761,2986,The Prince himself has no distinction either of garments or of a crown but is only distinguished by a sheaf of corn carried before him as the High Priest is also known by his being preceded by a person carrying a wax light,NA
4431,"More, Thomas, Saint",Utopia,sentence,2772,3013,But other brooks falling into it of which two are more considerable than the rest as it runs by Amaurot it is grown half a mile broad but it still grows larger and larger till after sixty miles course below it it is lost in the ocean,NA
4404,"More, Thomas, Saint",Utopia,sentence,2773,2995,There are fiftyfour cities in the island all large and well built the manners customs and laws of which are the same and they are all contrived as near in the same manner as the ground on which they stand will allow,NA
4570,"More, Thomas, Saint",Utopia,sentence,2783,3052,Others censured the fashion of their chains and observed That they were of no use for they were too slight to bind their slaves who could easily break them and besides hung so loose about them that they thought it easy to throw their away and so get from them,NA
4130,"More, Thomas, Saint",Utopia,sentence,2791,3001,After those civilities were past which are usual with strangers upon their first meeting we all went to my house and entering into the garden sat down on a green bank and entertained one another in discourse,NA
4377,"More, Thomas, Saint",Utopia,sentence,2794,2854,They knew little concerning us before our arrival among them,NA
4636,"More, Thomas, Saint",Utopia,sentence,2802,2966,Another kind of bodily pleasure is that which results from an undisturbed and vigorous constitution of body when life and active spirits seem to actuate every part,NA
4173,"More, Thomas, Saint",Utopia,sentence,2809,3038,He spoke both gracefully and weightily he was eminently skilled in the law had a vast understanding and a prodigious memory and those excellent talents with which nature had furnished him were improved by study and experience,NA
4519,"More, Thomas, Saint",Utopia,sentence,2810,3036,All the uneasy and sordid services about these halls are performed by their slaves but the dressing and cooking their meat and the ordering their tables belong only to the women all those of every family taking it by turns,NA
4803,"More, Thomas, Saint",Utopia,sentence,2813,3124,They are very good at finding out warlike machines and disguise them so well that the enemy does not perceive them till he feels the use of them so that he cannot prepare such a defence as would render them useless the chief consideration had in the making them is that they may be easily carried and managed,NA
4011,"More, Thomas, Saint",Utopia,sentence,2834,3001,In 1513 Thomas More still UnderSheriff of London is said to have written his History of the Life and Death of King Edward V and of the Usurpation of Richard III,NA
4767,"More, Thomas, Saint",Utopia,sentence,2836,3048,If they cannot disunite them by domestic broils then they engage their neighbours against them and make them set on foot some old pretensions which are never wanting to princes when they have occasion for them,NA
4285,"More, Thomas, Saint",Utopia,sentence,2842,3106,But Plato judged right that except kings themselves became philosophers they who from their childhood are corrupted with false notions would never fall in entirely with the counsels of philosophers and this he himself found to be true in the person of Dionysius,NA
4292,"More, Thomas, Saint",Utopia,entity,2846,2850,Plato,person
4477,"More, Thomas, Saint",Utopia,sentence,2853,3360,It is ordinary to have public lectures every morning before daybreak at which none are obliged to appear but those who are marked out for literature yet a great many both men and women of all ranks go to hear lectures of one sort or other according to their inclinations but if others that are not made for contemplation choose rather to employ themselves at that time in their trades as many of them do they are not hindered but are rather commended as men that take care to serve their country,NA
4378,"More, Thomas, Saint",Utopia,sentence,2857,3624,They call us all by a general name of The nations that lie beyond the equinoctial line for their chronicle mentions a shipwreck that was made on their coast twelve hundred years ago and that some Romans and Egyptians that were in the ship getting safe ashore spent the rest of their days amongst them and such was their ingenuity that from this single opportunity they drew the advantage of learning from those unlookedfor guests and acquired all the useful arts that were then among the Romans and which were known to these shipwrecked men and by the hints that they gave them they themselves found out even some of those arts which they could not fully explain so happily did they improve that accident of having some of our people cast upon their shore,NA
4891,"More, Thomas, Saint",Utopia,sentence,2858,3067,Thus have I described to you as particularly as I could the Constitution of that commonwealth which I do not only think the best in the world but indeed the only commonwealth that truly deserves that name,NA
4835,"More, Thomas, Saint",Utopia,sentence,2865,3511,Yet they do not punish them because they lay this down as a maxim that a man cannot make himself believe anything he pleases nor do they drive any to dissemble their thoughts by threatenings so that men are not tempted to lie or disguise their opinions which being a sort of fraud is abhorred by the Utopians they take care indeed to prevent their disputing in defence of these opinions especially before the common people but they suffer and even encourage them to dispute concerning them in private with their priest and other grave men being confident that they will be cured of those mad opinions by having reason laid before them,NA
4062,"More, Thomas, Saint",Utopia,entity,2878,2883,London,location
4305,"More, Thomas, Saint",Utopia,sentence,2884,2928,I confess said I I think not very well,NA
4458,"More, Thomas, Saint",Utopia,sentence,2892,2988,The Prince is for life unless he is removed upon suspicion of some design to enslave the people,NA
4252,"More, Thomas, Saint",Utopia,sentence,2893,3161,Those of every division of the country are distinguished by a peculiar mark which it is capital for them to lay aside to go out of their bounds or to talk with a slave of another jurisdiction and the very attempt of an escape is no less penal than an escape itself,NA
4218,"More, Thomas, Saint",Utopia,sentence,2896,3511,And I do not think that all the inconveniences this will produce are yet observed for as they sell the cattle dear so if they are consumed faster than the breeding countries from which they are brought can afford them then the stock must decrease and this must needs end in great scarcity and by these means this your island which seemed as to this particular the happiest in the world will suffer much by the cursed avarice of a few persons besides this the rising of corn makes all people lessen their families as much as they can and what can those who are dismissed by them do but either beg or rob,NA
4150,"More, Thomas, Saint",Utopia,sentence,2903,3043,I think my friends ought to rest contented with this and not to expect that for their sakes I should enslave myself to any king whatsoever,NA
4502,"More, Thomas, Saint",Utopia,sentence,2903,3377,If an accident has so lessened the number of the inhabitants of any of their towns that it cannot be made up from the other towns of the island without diminishing them too much which is said to have fallen out but twice since they were first a people when great numbers were carried off by the plague the loss is then supplied by recalling as many as are wanted from their colonies for they will abandon these rather than suffer the towns in the island to sink too low,NA
4196,"More, Thomas, Saint",Utopia,sentence,2907,3186,They think raw men are not to be depended on and they sometimes seek occasions for making war that they may train up their soldiers in the art of cutting throats or as Sallust observed for keeping their hands in use that they may not grow dull by too long an intermission,NA
4091,"More, Thomas, Saint",Utopia,sentence,2919,3383,I was colleague and companion to that incomparable man Cuthbert Tonstal whom the King with such universal applause lately made Master of the Rolls but of whom I will say nothing not because I fear that the testimony of a friend will be suspected but rather because his learning and virtues are too great for me to do them justice and so well known that they need not my commendations unless I would according to the proverb Show the sun with a lantern,NA
4875,"More, Thomas, Saint",Utopia,sentence,2919,3230,In the temples the two sexes are separated the men go to the right hand and the women to the left and the males and females all place themselves before the head and master or mistress of the family to which they belong so that those who have the government of them at home may see their deportment in public,NA
4619,"More, Thomas, Saint",Utopia,sentence,2926,3291,The jeweller is then made to give good security and required solemnly to swear that the stone is true that by such an exact caution a false one might not be bought instead of a true though if you were to examine it your eye could find no difference between the counterfeit and that which is true so that they are all one to you as much as if you were blind,NA
4306,"More, Thomas, Saint",Utopia,sentence,2931,3103,But what said he if I should sort with another kind of ministers whose chief contrivances and consultations were by what art the princes treasures might be increased,NA
4822,"More, Thomas, Saint",Utopia,sentence,2941,3082,From whichsoever of these motives it might be true it is that many of them came over to our religion and were initiated into it by baptism,NA
4063,"More, Thomas, Saint",Utopia,entity,2948,2958,King Edward,location
4555,"More, Thomas, Saint",Utopia,sentence,2948,3237,If these metals were laid up in any tower in the kingdom it would raise a jealousy of the Prince and Senate and give birth to that foolish mistrust into which the people are apt to falla jealousy of their intending to sacrifice the interest of the public to their own private advantage,NA
4042,"More, Thomas, Saint",Utopia,entity,2953,2958,Edward,person
4637,"More, Thomas, Saint",Utopia,sentence,2969,3516,This lively health when entirely free from all mixture of pain of itself gives an inward pleasure independent of all external objects of delight and though this pleasure does not so powerfully affect us nor act so strongly on the senses as some of the others yet it may be esteemed as the greatest of all pleasures and almost all the Utopians reckon it the foundation and basis of all the other joys of life since this alone makes the state of life easy and desirable and when this is wanting a man is really capable of no other pleasure,NA
4694,"More, Thomas, Saint",Utopia,sentence,2970,3930,They visit them often and take great pains to make their time pass off easily but when any is taken with a torturing and lingering pain so that there is no hope either of recovery or ease the priests and magistrates come and exhort them that since they are now unable to go on with the business of life are become a burden to themselves and to all about them and they have really outlived themselves they should no longer nourish such a rooted distemper but choose rather to die since they cannot live but in much misery being assured that if they thus deliver themselves from torture or are willing that others should do it they shall be happy after death since by their acting thus they lose none of the pleasures but only the troubles of life they think they behave not only reasonably but in a manner consistent with religion and piety because they follow the advice given them by their priests who are the expounders of the will of God,NA
4107,"More, Thomas, Saint",Utopia,entity,2974,2989,Cuthbert Tonstal,person
4786,"More, Thomas, Saint",Utopia,sentence,2985,3252,But as they force no man to go into any foreign war against his will so they do not hinder those women who are willing to go along with their husbands on the contrary they encourage and praise them and they stand often next their husbands in the front of the army,NA
4748,"More, Thomas, Saint",Utopia,sentence,2987,3422,This is not because they consider their neighbours more than their own citizens but since their neighbours trade every one upon his own stock fraud is a more sensible injury to them than it is to the Utopians among whom the public in such a case only suffers as they expect no thing in return for the merchandise they export but that in which they so much abound and is of little use to them the loss does not much affect them,NA
4043,"More, Thomas, Saint",Utopia,entity,2989,2999,Richard III,person
4725,"More, Thomas, Saint",Utopia,sentence,2989,3068,They have but few laws and such is their constitution that they need not many,NA
4459,"More, Thomas, Saint",Utopia,sentence,2991,3123,The Tranibors are new chosen every year but yet they are for the most part continued all their other magistrates are only annual,NA
4541,"More, Thomas, Saint",Utopia,sentence,2997,3432,If any man has a mind to travel only over the precinct of his own city he may freely do it with his fathers permission and his wifes consent but when he comes into any of the country houses if he expects to be entertained by them he must labour with them and conform to their rules and if he does this he may freely go over the whole precinct being then as useful to the city to which he belongs as if he were still within it,NA
4405,"More, Thomas, Saint",Utopia,sentence,2998,3187,The nearest lie at least twentyfour miles distance from one another and the most remote are not so far distant but that a man can go on foot in one day from it to that which lies next it,NA
4012,"More, Thomas, Saint",Utopia,sentence,3004,3164,The book which seems to contain the knowledge and opinions of Mores patron Morton was not printed until 1557 when its writer had been twentytwo years dead,NA
4131,"More, Thomas, Saint",Utopia,sentence,3004,3873,He told us that when Vesputius had sailed away he and his companions that stayed behind in New Castile by degrees insinuated themselves into the affections of the people of the country meeting often with them and treating them gently and at last they not only lived among them without danger but conversed familiarly with them and got so far into the heart of a prince whose name and country I have forgot that he both furnished them plentifully with all things necessary and also with the conveniences of travelling both boats when they went by water and waggons when they travelled over land he sent with them a very faithful guide who was to introduce and recommend them to such other princes as they had a mind to see and after many days journey they came to towns and cities and to commonwealths that were both happily governed and well peopled,NA
4676,"More, Thomas, Saint",Utopia,sentence,3004,3147,They have no books of grammar but Lascares for I did not carry Theodorus with me nor have they any dictionaries but Hesichius and Dioscerides,NA
4432,"More, Thomas, Saint",Utopia,sentence,3016,3136,Between the town and the sea and for some miles above the town it ebbs and flows every six hours with a strong current,NA
4520,"More, Thomas, Saint",Utopia,sentence,3039,3563,They sit at three or more tables according to their number the men sit towards the wall and the women sit on the other side that if any of them should be taken suddenly ill which is no uncommon case amongst women with child she may without disturbing the rest rise and go to the nurses room who are there with the sucking children where there is always clean water at hand and cradles in which they may lay the young children if there is occasion for it and a fire that they may shift and dress them before it,NA
4174,"More, Thomas, Saint",Utopia,sentence,3041,3387,When I was in England the King depended much on his counsels and the Government seemed to be chiefly supported by him for from his youth he had been all along practised in affairs and having passed through many traverses of fortune he had with great cost acquired a vast stock of wisdom which is not soon lost when it is purchased so dear,NA
4603,"More, Thomas, Saint",Utopia,sentence,3045,3530,Upon this they infer that no man ought to seek his own conveniences so eagerly as to prejudice others and therefore they think that not only all agreements between private persons ought to be observed but likewise that all those laws ought to be kept which either a good prince has published in due form or to which a people that is neither oppressed with tyranny nor circumvented by fraud has consented for distributing those conveniences of life which afford us all our pleasures,NA
4151,"More, Thomas, Saint",Utopia,sentence,3046,3189,Soft and fair said Peter I do not mean that you should be a slave to any king but only that you should assist them and be useful to them,NA
4234,"More, Thomas, Saint",Utopia,sentence,3049,3181,and if this is once admitted by the same rule men may in all other things put what restrictions they please upon the laws of God,NA
4584,"More, Thomas, Saint",Utopia,sentence,3051,3130,As to moral philosophy they have the same disputes among them as we have here,NA
4768,"More, Thomas, Saint",Utopia,sentence,3051,3287,These they plentifully supply with money though but very sparingly with any auxiliary troops for they are so tender of their own people that they would not willingly exchange one of them even with the prince of their enemies country,NA
4327,"More, Thomas, Saint",Utopia,sentence,3053,3150,Nor is it so becoming the dignity of a king to reign over beggars as over rich and happy subjects,NA
4571,"More, Thomas, Saint",Utopia,sentence,3055,3651,But after the ambassadors had stayed a day among them and saw so vast a quantity of gold in their houses which was as much despised by them as it was esteemed in other nations and beheld more gold and silver in the chains and fetters of one slave than all their ornaments amounted to their plumes fell and they were ashamed of all that glory for which they had formed valued themselves and accordingly laid it asidea resolution that they immediately took when on their engaging in some free discourse with the Utopians they discovered their sense of such things and their other customs,NA
4164,"More, Thomas, Saint",Utopia,entity,3068,3072,Peter,person
4892,"More, Thomas, Saint",Utopia,sentence,3070,4045,In all other places it is visible that while people talk of a commonwealth every man only seeks his own wealth but there where no man has any property all men zealously pursue the good of the public and indeed it is no wonder to see men act so differently for in other commonwealths every man knows that unless he provides for himself how flourishing soever the commonwealth may be he must die of hunger so that he sees the necessity of preferring his own concerns to the public but in Utopia where every man has a right to everything they all know that if care is taken to keep the public stores full no private man can want anything for among them there is no unequal distribution so that no man is poor none in necessity and though no man has anything yet they are all rich for what can make a man so rich as to lead a serene and cheerful life free from anxieties neither apprehending want himself nor vexed with the endless complaints of his wife,NA
4726,"More, Thomas, Saint",Utopia,sentence,3071,3369,They very much condemn other nations whose laws together with the commentaries on them swell up to so many volumes for they think it an unreasonable thing to oblige men to obey a body of laws that are both of such a bulk and so dark as not to be read and understood by every one of the subjects,NA
4203,"More, Thomas, Saint",Utopia,entity,3079,3085,Sallust,person
4044,"More, Thomas, Saint",Utopia,entity,3082,3087,Morton,person
4823,"More, Thomas, Saint",Utopia,sentence,3085,3413,But as two of our number were dead so none of the four that survived were in priests orders we therefore could only baptise them so that to our great regret they could not partake of the other sacraments that can only be administered by priests but they are instructed concerning them and long most vehemently for them,NA
4141,"More, Thomas, Saint",Utopia,entity,3097,3107,New Castile,location
4307,"More, Thomas, Saint",Utopia,sentence,3105,3318,where one proposes raising the value of specie when the kings debts are large and lowering it when his revenues were to come in that so he might both pay much with a little and in a little receive a great deal,NA
4661,"More, Thomas, Saint",Utopia,sentence,3108,3293,Yet in all pleasures whatsoever they take care that a lesser joy does not hinder a greater and that pleasure may never breed pain which they think always follows dishonest pleasures,NA
4286,"More, Thomas, Saint",Utopia,sentence,3109,3349,Do not you think that if I were about any king proposing good laws to him and endeavouring to root out all the cursed seeds of evil that I found in him I should either be turned out of his court or at least be laughed at for my pains,NA
4460,"More, Thomas, Saint",Utopia,sentence,3126,3372,The Tranibors meet every third day and oftener if necessary and consult with the Prince either concerning the affairs of the State in general or such private differences as may arise sometimes among the people though that falls out but seldom,NA
4804,"More, Thomas, Saint",Utopia,sentence,3127,3229,If they agree to a truce they observe it so religiously that no provocations will make them break it,NA
4585,"More, Thomas, Saint",Utopia,sentence,3133,3317,They examine what are properly good both for the body and the mind and whether any outward thing can be called truly  good  or if that term belong only to the endowments of the soul,NA
4433,"More, Thomas, Saint",Utopia,sentence,3139,3467,The tide comes up about thirty miles so full that there is nothing but salt water in the river the fresh water being driven back with its force and above that for some miles the water is brackish but a little higher as it runs by the town it is quite fresh and when the tide ebbs it continues fresh all along to the sea,NA
4677,"More, Thomas, Saint",Utopia,sentence,3150,3253,They esteem Plutarch highly and were much taken with Lucians wit and with his pleasant way of writing,NA
4328,"More, Thomas, Saint",Utopia,sentence,3152,3404,And therefore Fabricius a man of a noble and exalted temper said he would rather govern rich men than be rich himself since for one man to abound in wealth and pleasure when all about him are mourning and groaning is to be a gaoler and not a king,NA
4902,"More, Thomas, Saint",Utopia,sentence,3163,3363,Mens fears solicitudes cares labours and watchings would all perish in the same moment with the value of money even poverty itself for the relief of which money seems most necessary would fall,NA
4253,"More, Thomas, Saint",Utopia,sentence,3164,3276,It is death for any other slave to be accessory to it and if a freeman engages in it he is condemned to slavery,NA
4013,"More, Thomas, Saint",Utopia,sentence,3167,3219,It was then printed from a MS in Mores handwriting,NA
4864,"More, Thomas, Saint",Utopia,sentence,3182,3533,They have indeed very few of them lest greater numbers sharing in the same honour might make the dignity of that order which they esteem so highly to sink in its reputation they also think it difficult to find out many of such an exalted pitch of goodness as to be equal to that dignity which demands the exercise of more than ordinary virtues,NA
1659,"Gilman, Charlotte Perkins",Herland,sentence,3283,3344,As to the languagewe all fell upon it with redoubled energy,NA
1660,"Gilman, Charlotte Perkins",Herland,sentence,3346,3424,They brought us books in greater numbers and I began to study them seriously,NA
1661,"Gilman, Charlotte Perkins",Herland,sentence,3427,3523,Pretty punk literature Terry burst forth one day when we were in the privacy of our own room,NA
1662,"Gilman, Charlotte Perkins",Herland,sentence,3525,3623,Of course one expects to begin on childstories but I would like something more interesting now,NA
1663,"Gilman, Charlotte Perkins",Herland,sentence,3626,3697,Cant expect stirring romance and wild adventure without men can you,NA
1664,"Gilman, Charlotte Perkins",Herland,sentence,3699,3706,I asked,NA
1665,"Gilman, Charlotte Perkins",Herland,sentence,3708,3858,Nothing irritated Terry more than to have us assume that there were no men but there were no signs of them in the books they gave us or the pictures,NA
1666,"Gilman, Charlotte Perkins",Herland,sentence,3861,3882,Shut up he growled,NA
1667,"Gilman, Charlotte Perkins",Herland,sentence,3884,3916,What infernal nonsense you talk,NA
1668,"Gilman, Charlotte Perkins",Herland,sentence,3918,3968,Im going to ask em outrightwe know enough now,NA
1669,"Gilman, Charlotte Perkins",Herland,sentence,3971,4120,In truth we had been using our best efforts to master the language and were able to read fluently and to discuss what we read with considerable ease,NA
1670,"Gilman, Charlotte Perkins",Herland,sentence,4123,4243,That afternoon we were all sitting together on the roofwe three and the tutors gathered about a table no guards about,NA
1671,"Gilman, Charlotte Perkins",Herland,sentence,4245,4412,We had been made to understand some time earlier that if we would agree to do no violence they would withdraw their constant attendance and we promised most willingly,NA
1672,"Gilman, Charlotte Perkins",Herland,sentence,4415,4533,So there we sat at ease all in similar dress our hair by now as long as theirs only our beards to distinguish us,NA
1673,"Gilman, Charlotte Perkins",Herland,sentence,4535,4641,We did not want those beards but had so far been unable to induce them to give us any cutting instruments,NA
1674,"Gilman, Charlotte Perkins",Herland,sentence,4644,4733,Ladies Terry began out of a clear sky as it were are there no men in this country,NA
1675,"Gilman, Charlotte Perkins",Herland,sentence,4736,4757,Men Somel answered,NA
1676,"Gilman, Charlotte Perkins",Herland,sentence,4759,4845,Like you  Yes men Terry indicated his beard and threw back his broad shoulders,NA
1677,"Gilman, Charlotte Perkins",Herland,sentence,4847,4862,Men real men,NA
1678,"Gilman, Charlotte Perkins",Herland,sentence,4865,4891,No she answered quietly,NA
1679,"Gilman, Charlotte Perkins",Herland,sentence,4893,4926,There are no men in this country,NA
1680,"Gilman, Charlotte Perkins",Herland,sentence,4928,4985,There has not been a man among us for two thousand years,NA
1681,"Gilman, Charlotte Perkins",Herland,sentence,4988,5001,Her look was c,NA
1682,"Gilman, Charlotte Perkins",Herland,entity,3130,3133,Jeff,person
1683,"Gilman, Charlotte Perkins",Herland,entity,3453,3457,Terry,person
1684,"Gilman, Charlotte Perkins",Herland,entity,4645,4650,Ladies,person
1685,"Gilman, Charlotte Perkins",Herland,entity,4654,4658,Terry,person
1686,"Gilman, Charlotte Perkins",Herland,entity,4784,4788,Terry,person
1687,"Gilman, Charlotte Perkins",Herland,sentence,1,126,clear and truthful and she did not advance this astonishing statement as if it was astonishing but quite as a matter of fact,NA
1688,"Gilman, Charlotte Perkins",Herland,sentence,129,233,Butthe peoplethe children he protested not believing her in the least but not wishing to say so,NA
1689,"Gilman, Charlotte Perkins",Herland,sentence,236,256,Oh yes she smiled,NA
1690,"Gilman, Charlotte Perkins",Herland,sentence,258,290,I do not wonder you are puzzled,NA
1691,"Gilman, Charlotte Perkins",Herland,sentence,292,343,We are mothersall of usbut there are no fathers,NA
1692,"Gilman, Charlotte Perkins",Herland,sentence,345,471,We thought you would ask about that long agowhy have you not Her look was as frankly kind as always her tone quite simple,NA
1693,"Gilman, Charlotte Perkins",Herland,sentence,474,605,Terry explained that we had not felt sufficiently used to the language making rather a mess of it I thought but Jeff was franker,NA
1694,"Gilman, Charlotte Perkins",Herland,sentence,608,687,Will you excuse us all he said if we admit that we find it hard to believe,NA
1695,"Gilman, Charlotte Perkins",Herland,sentence,689,745,There is no suchpossibilityin the rest of the world,NA
1696,"Gilman, Charlotte Perkins",Herland,sentence,748,795,Have you no kind of life where it is possible,NA
1697,"Gilman, Charlotte Perkins",Herland,sentence,797,807,asked Zava,NA
1698,"Gilman, Charlotte Perkins",Herland,sentence,810,847,Why yessome low forms of course,NA
1699,"Gilman, Charlotte Perkins",Herland,sentence,850,956,How lowor how high rather  Wellthere are some rather high forms of insect life in which it occurs,NA
1700,"Gilman, Charlotte Perkins",Herland,sentence,958,1011,Parthenogenesis we call itthat means virgin birth,NA
1701,"Gilman, Charlotte Perkins",Herland,sentence,1014,1038,She could not follow him,NA
1702,"Gilman, Charlotte Perkins",Herland,sentence,1041,1088,BIRTH we know of course but what is VIRGIN,NA
1703,"Gilman, Charlotte Perkins",Herland,sentence,1091,1157,Terry looked uncomfortable but Jeff met the question quite calmly,NA
1704,"Gilman, Charlotte Perkins",Herland,sentence,1159,1254,Among mating animals the term VIRGIN is applied to the female who has not mated he answered,NA
1705,"Gilman, Charlotte Perkins",Herland,sentence,1257,1267,Oh I see,NA
1706,"Gilman, Charlotte Perkins",Herland,sentence,1269,1303,And does it apply to the male also,NA
1707,"Gilman, Charlotte Perkins",Herland,sentence,1305,1342,Or is there a different term for him,NA
1708,"Gilman, Charlotte Perkins",Herland,sentence,1345,1441,He passed this over rather hurriedly saying that the same term would apply but was seldom used,NA
1709,"Gilman, Charlotte Perkins",Herland,sentence,1444,1458,No she said,NA
1710,"Gilman, Charlotte Perkins",Herland,sentence,1460,1505,But one cannot mate without the other surely,NA
1711,"Gilman, Charlotte Perkins",Herland,sentence,1507,1546,Is not each thenvirginbefore mating,NA
1712,"Gilman, Charlotte Perkins",Herland,sentence,1548,1690,And tell me have you any forms of life in which there is birth from a father only  I know of none he answered and I inquired seriously,NA
1713,"Gilman, Charlotte Perkins",Herland,sentence,1693,1848,You ask us to believe that for two thousand years there have been only women here and only girl babies born  Exactly answered Somel nodding gravely,NA
1714,"Gilman, Charlotte Perkins",Herland,sentence,1850,2033,Of course we know that among other animals it is not so that there are fathers as well as mothers and we see that you are fathers that you come from a people who are of both kinds,NA
1715,"Gilman, Charlotte Perkins",Herland,sentence,2035,2167,We have been waiting you see for you to be able to speak freely with us and teach us about your country and the rest of the world,NA
1716,"Gilman, Charlotte Perkins",Herland,sentence,2169,2226,You know so much you see and we know only our own land,NA
1717,"Gilman, Charlotte Perkins",Herland,sentence,2229,2499,In the course of our previous studies we had been at some pains to tell them about the big world outside to draw sketches maps to make a globe even out of a spherical fruit and show the size and relation of the countries and to tell of the numbers of their people,NA
1718,"Gilman, Charlotte Perkins",Herland,sentence,2501,2566,All this had been scant and in outline but they quite understood,NA
1719,"Gilman, Charlotte Perkins",Herland,sentence,2569,2656,I find I succeed very poorly in conveying the impression I would like to of these women,NA
1720,"Gilman, Charlotte Perkins",Herland,sentence,2658,2864,So far from being ignorant they were deeply wisethat we realized more and more and for clear reasoning for real brain scope and power they were A No 1 but there were a lot of things they did not know,NA
1721,"Gilman, Charlotte Perkins",Herland,sentence,2867,3020,They had the evenest tempers the most perfect patience and good natureone of the things most impressive about them all was the absence of irritability,NA
1722,"Gilman, Charlotte Perkins",Herland,sentence,3022,3101,So far we had only this group to study but afterward I found it a common trait,NA
1723,"Gilman, Charlotte Perkins",Herland,sentence,3104,3275,We had gradually come to feel that we were in the hands of friends and very capable ones at thatbut we couldnt form any opinion yet of the general level of these women,NA
1724,"Gilman, Charlotte Perkins",Herland,sentence,3278,3429,We want you to teach us all you can Somel went on her firm shapely hands clasped on the table before her her clear quiet eyes meeting ours frankly,NA
1725,"Gilman, Charlotte Perkins",Herland,sentence,3431,3494,And we want to teach you what we have that is novel and useful,NA
1726,"Gilman, Charlotte Perkins",Herland,sentence,3496,3599,You can well imagine that it is a wonderful event to us to have men among usafter two thousand years,NA
1727,"Gilman, Charlotte Perkins",Herland,sentence,3601,3638,And we want to know about your women,NA
