,author,title,id,type,start,end,constituents,words,kind
943,"Gilman, Charlotte Perkins",Herland,8,sentence,956,1036,268:281,They chattered softly together one evidently warning her the other encouraging,NA
944,"Gilman, Charlotte Perkins",Herland,9,sentence,1038,1078,282:291,Then softly and slowly she drew nearer,NA
945,"Gilman, Charlotte Perkins",Herland,10,sentence,1080,1166,292:308,This was Alima a tall longlimbed lass wellknit and evidently both strong and agile,NA
946,"Gilman, Charlotte Perkins",Herland,11,sentence,1168,1270,309:331,Her eyes were splendid wide fearless as free from suspicion as a childs who has never been rebuked,NA
947,"Gilman, Charlotte Perkins",Herland,12,sentence,1272,1378,332:353,Her interest was more that of an intent boy playing a fascinating game than of a girl lured by an ornament,NA
948,"Gilman, Charlotte Perkins",Herland,13,sentence,1381,1441,354:366,The others moved a bit farther out holding firmly watching,NA
949,"Gilman, Charlotte Perkins",Herland,14,sentence,1443,1556,367:390,Terrys smile was irreproachable but I did not like the look in his eyesit was like a creature about to spring,NA
950,"Gilman, Charlotte Perkins",Herland,15,sentence,1558,1691,391:418,I could already see it happenthe dropped necklace the sudden clutching hand the girls sharp cry as he seized her and drew her in,NA
951,"Gilman, Charlotte Perkins",Herland,16,sentence,1693,1713,419:424,But it didnt happen,NA
952,"Gilman, Charlotte Perkins",Herland,17,sentence,1715,1919,425:467,She made a timid reach with her right hand for the gay swinging thinghe held it a little nearerthen swift as light she seized it from him with her left and dropped on the instant to the bough below,NA
953,"Gilman, Charlotte Perkins",Herland,18,sentence,1922,2089,468:500,He made his snatch quite vainly almost losing his position as his hand clutched only air and then with inconceivable rapidity the three bright creatures were gone,NA
954,"Gilman, Charlotte Perkins",Herland,19,sentence,2091,2240,501:530,They dropped from the ends of the big boughs to those below fairly pouring themselves off the tree while we climbed downward as swiftly as we could,NA
955,"Gilman, Charlotte Perkins",Herland,20,sentence,2242,2455,531:573,We heard their vanishing gay laughter we saw them fleeting away in the wide open reaches of the forest and gave chase but we might as well have chased wild antelopes so we stopped at length somewhat breathless,NA
956,"Gilman, Charlotte Perkins",Herland,21,sentence,2458,2480,574:581,No use gasped Terry,NA
957,"Gilman, Charlotte Perkins",Herland,22,sentence,2482,2504,582:588,They got away with it,NA
958,"Gilman, Charlotte Perkins",Herland,23,sentence,2506,2513,589:591,My word,NA
959,"Gilman, Charlotte Perkins",Herland,24,sentence,2515,2562,592:602,The men of this country must be good sprinters,NA
960,"Gilman, Charlotte Perkins",Herland,25,sentence,2565,2617,603:612,Inhabitants evidently arboreal I grimly suggested,NA
961,"Gilman, Charlotte Perkins",Herland,26,sentence,2619,2666,613:620,Civilized and still arborealpeculiar people,NA
962,"Gilman, Charlotte Perkins",Herland,27,sentence,2669,2720,621:633,You shouldnt have tried that way Jeff protested,NA
963,"Gilman, Charlotte Perkins",Herland,28,sentence,2722,2775,634:646,They were perfectly friendly now weve scared them,NA
964,"Gilman, Charlotte Perkins",Herland,29,sentence,2778,2845,647:661,But it was no use grumbling and Terry refused to admit any mistake,NA
965,"Gilman, Charlotte Perkins",Herland,30,sentence,2847,2866,662:668,Nonsense he said,NA
966,"Gilman, Charlotte Perkins",Herland,31,sentence,2868,2885,669:673,They expected it,NA
967,"Gilman, Charlotte Perkins",Herland,32,sentence,2887,2913,674:680,Women like to be run after,NA
968,"Gilman, Charlotte Perkins",Herland,33,sentence,2915,2975,681:697,Come on lets get to that town maybe well find them there,NA
969,"Gilman, Charlotte Perkins",Herland,34,sentence,2977,3055,698:718,Lets see it was in this direction and not far from the woods as I remember,NA
970,"Gilman, Charlotte Perkins",Herland,35,sentence,3058,3142,719:734,When we reached the edge of the open country we reconnoitered with our field glasses,NA
971,"Gilman, Charlotte Perkins",Herland,36,sentence,3144,3259,735:762,There it was about four miles off the same town we concluded unless as Jeff ventured they all had pink houses,NA
972,"Gilman, Charlotte Perkins",Herland,37,sentence,3261,3436,763:795,The broad green fields and closely cultivated gardens sloped away at our feet a long easy slant with good roads winding pleasantly here and there and narrower paths besides,NA
973,"Gilman, Charlotte Perkins",Herland,38,sentence,3439,3474,796:805,Look at that cried Jeff suddenly,NA
974,"Gilman, Charlotte Perkins",Herland,39,sentence,3476,3594,806:831,There they go  Sure enough close to the town across a wide meadow three brighthued figures were running swiftly,NA
975,"Gilman, Charlotte Perkins",Herland,40,sentence,3597,3643,832:843,How could they have got that far in this time,NA
976,"Gilman, Charlotte Perkins",Herland,41,sentence,3645,3680,844:855,It cant be the same ones I urged,NA
977,"Gilman, Charlotte Perkins",Herland,42,sentence,3682,3783,856:873,But through the glasses we could identify our pretty treeclimbers quite plainly at least by costume,NA
978,"Gilman, Charlotte Perkins",Herland,43,sentence,3786,3872,874:891,Terry watched them we all did for that matter till they disappeared among the houses,NA
979,"Gilman, Charlotte Perkins",Herland,44,sentence,3874,3940,892:907,Then he put down his glass and turned to us drawing a long breath,NA
980,"Gilman, Charlotte Perkins",Herland,45,sentence,3942,3984,908:916,Mother of Mike boyswhat Gorgeous Girls,NA
981,"Gilman, Charlotte Perkins",Herland,46,sentence,3986,4045,917:931,To climb like that to run like that and afraid of nothing,NA
982,"Gilman, Charlotte Perkins",Herland,47,sentence,4047,4078,932:938,This country suits me all right,NA
983,"Gilman, Charlotte Perkins",Herland,48,sentence,4080,4096,939:944,Lets get ahead,NA
984,"Gilman, Charlotte Perkins",Herland,49,sentence,4099,4198,945:968,Nothing venture nothing have I suggested but Terry preferred Faint heart neer won fair lady,NA
985,"Gilman, Charlotte Perkins",Herland,50,sentence,4201,4242,969:978,We set forth in the open walking briskly,NA
986,"Gilman, Charlotte Perkins",Herland,51,sentence,4244,4386,979:1012,If there are any men wed better keep an eye out I suggested but Jeff seemed lost in heavenly dreams and Terry in highly practical plans,NA
987,"Gilman, Charlotte Perkins",Herland,52,sentence,4389,4409,1013:1018,What a perfect road,NA
988,"Gilman, Charlotte Perkins",Herland,53,sentence,4411,4434,1019:1023,What a heavenly country,NA
989,"Gilman, Charlotte Perkins",Herland,54,sentence,4436,4462,1024:1031,See the flowers will you,NA
990,"Gilman, Charlotte Perkins",Herland,55,sentence,4465,4535,1032:1047,This was Jeff always an enthusiast but we could agree with him fully,NA
991,"Gilman, Charlotte Perkins",Herland,56,sentence,4538,4695,1048:1080,The road was some sort of hard manufactured stuff sloped slightly to shed rain with every curve and grade and gutter as perfect as if it were Europes best,NA
992,"Gilman, Charlotte Perkins",Herland,57,sentence,4697,4724,1081:1090,No men eh sneered Terry,NA
993,"Gilman, Charlotte Perkins",Herland,58,sentence,4726,4906,1091:1124,On either side a double row of trees shaded the footpaths between the trees bushes or vines all fruitbearing now and then seats and little wayside fountains everywhere flowers,NA
994,"Gilman, Charlotte Perkins",Herland,59,sentence,4909,5001,1125:1145,Wed better import some of these ladies and set em to parking the United States I suggest,NA
995,"Gilman, Charlotte Perkins",Herland,1146,entity,2811,2815,NULL,Terry,person
996,"Gilman, Charlotte Perkins",Herland,1147,entity,3220,3223,NULL,Jeff,person
997,"Gilman, Charlotte Perkins",Herland,1148,entity,3461,3464,NULL,Jeff,person
998,"Gilman, Charlotte Perkins",Herland,1149,entity,3786,3790,NULL,Terry,person
999,"Gilman, Charlotte Perkins",Herland,1150,entity,3953,3956,NULL,Mike,person
1000,"Gilman, Charlotte Perkins",Herland,1151,entity,4149,4153,NULL,Terry,person
1001,"Gilman, Charlotte Perkins",Herland,1152,entity,4314,4317,NULL,Jeff,person
1002,"Gilman, Charlotte Perkins",Herland,1153,entity,4355,4359,NULL,Terry,person
1003,"Gilman, Charlotte Perkins",Herland,1154,entity,4682,4687,NULL,Europe,location
1004,"Gilman, Charlotte Perkins",Herland,1155,entity,4977,4989,NULL,United States,location
1005,"Gilman, Charlotte Perkins",Herland,1,sentence,1,42,61:72,ted Mighty nice place theyve got here,NA
1006,"Gilman, Charlotte Perkins",Herland,2,sentence,44,224,73:112,We rested a few moments by one of the fountains tested the fruit that looked ripe and went on impressed for all our gay bravado by the sense of quiet potency which lay about us,NA
1007,"Gilman, Charlotte Perkins",Herland,3,sentence,227,351,113:135,Here was evidently a people highly skilled efficient caring for their country as a florist cares for his costliest orchids,NA
1008,"Gilman, Charlotte Perkins",Herland,4,sentence,353,519,136:169,Under the soft brilliant blue of that clear sky in the pleasant shade of those endless rows of trees we walked unharmed the placid silence broken only by the birds,NA
1009,"Gilman, Charlotte Perkins",Herland,5,sentence,522,617,170:190,Presently there lay before us at the foot of a long hill the town or village we were aiming for,NA
1010,"Gilman, Charlotte Perkins",Herland,6,sentence,619,644,191:196,We stopped and studied it,NA
1011,"Gilman, Charlotte Perkins",Herland,7,sentence,647,670,197:202,Jeff drew a long breath,NA
1012,"Gilman, Charlotte Perkins",Herland,8,sentence,672,751,203:221,I wouldnt have believed a collection of houses could look so lovely he said,NA
1013,"Gilman, Charlotte Perkins",Herland,9,sentence,754,839,222:240,Theyve got architects and landscape gardeners in plenty thats sure agreed Terry,NA
1014,"Gilman, Charlotte Perkins",Herland,10,sentence,842,865,241:245,I was astonished myself,NA
1015,"Gilman, Charlotte Perkins",Herland,11,sentence,867,961,246:266,You see I come from California and theres no country lovelier but when it comes to towns,NA
1016,"Gilman, Charlotte Perkins",Herland,12,sentence,963,1089,267:296,I have often groaned at home to see the offensive mess man made in the face of nature even though Im no art sharp like Jeff,NA
1017,"Gilman, Charlotte Perkins",Herland,13,sentence,1091,1105,297:300,But this place,NA
1018,"Gilman, Charlotte Perkins",Herland,14,sentence,1107,1297,301:339,It was built mostly of a sort of dull rosecolored stone with here and there some clear white houses and it lay abroad among the green groves and gardens like a broken rosary of pink coral,NA
1019,"Gilman, Charlotte Perkins",Herland,15,sentence,1300,1369,340:353,Those big white ones are public buildings evidently Terry declared,NA
1020,"Gilman, Charlotte Perkins",Herland,16,sentence,1371,1408,354:363,This is no savage country my friend,NA
1021,"Gilman, Charlotte Perkins",Herland,17,sentence,1410,1420,364:367,But no men,NA
1022,"Gilman, Charlotte Perkins",Herland,18,sentence,1422,1471,368:379,Boys it behooves us to go forward most politely,NA
1023,"Gilman, Charlotte Perkins",Herland,19,sentence,1474,1533,380:392,The place had an odd look more impressive as we approached,NA
1024,"Gilman, Charlotte Perkins",Herland,20,sentence,1535,1560,393:400,Its like an exposition,NA
1025,"Gilman, Charlotte Perkins",Herland,21,sentence,1562,1590,401:410,Its too pretty to be true,NA
1026,"Gilman, Charlotte Perkins",Herland,22,sentence,1592,1636,411:422,Plenty of palaces but where are the homes,NA
1027,"Gilman, Charlotte Perkins",Herland,23,sentence,1638,1678,423:430,Oh there are little ones enoughbut,NA
1028,"Gilman, Charlotte Perkins",Herland,24,sentence,1680,1738,431:442,It certainly was different from any towns we had ever seen,NA
1029,"Gilman, Charlotte Perkins",Herland,25,sentence,1741,1778,443:453,Theres no dirt said Jeff suddenly,NA
1030,"Gilman, Charlotte Perkins",Herland,26,sentence,1780,1823,454:466,Theres no smoke he added after a little,NA
1031,"Gilman, Charlotte Perkins",Herland,27,sentence,1826,1965,467:502,Theres no noise I offered but Terry snubbed meThats because they are laying low for us wed better be careful how we go in there,NA
1032,"Gilman, Charlotte Perkins",Herland,28,sentence,1968,2030,503:517,Nothing could induce him to stay out however so we walked on,NA
1033,"Gilman, Charlotte Perkins",Herland,29,sentence,2033,2127,518:536,Everything was beauty order perfect cleanness and the pleasantest sense of home over it all,NA
1034,"Gilman, Charlotte Perkins",Herland,30,sentence,2129,2339,537:576,As we neared the center of the town the houses stood thicker ran together as it were grew into rambling palaces grouped among parks and open squares something as college buildings stand in their quiet greens,NA
1035,"Gilman, Charlotte Perkins",Herland,31,sentence,2342,2500,577:610,And then turning a corner we came into a broad paved space and saw before us a band of women standing close together in even order evidently waiting for us,NA
1036,"Gilman, Charlotte Perkins",Herland,32,sentence,2503,2538,611:618,We stopped a moment and looked back,NA
1037,"Gilman, Charlotte Perkins",Herland,33,sentence,2540,2625,619:634,The street behind was closed by another band marching steadily shoulder to shoulder,NA
1038,"Gilman, Charlotte Perkins",Herland,34,sentence,2627,2797,635:665,We went onthere seemed no other way to goand presently found ourselves quite surrounded by this closemassed multitude women all of them but  They were not young,NA
1039,"Gilman, Charlotte Perkins",Herland,35,sentence,2799,2816,666:670,They were not old,NA
1040,"Gilman, Charlotte Perkins",Herland,36,sentence,2818,2861,671:681,They were not in the girl sense beautiful,NA
1041,"Gilman, Charlotte Perkins",Herland,37,sentence,2863,2899,682:689,They were not in the least ferocious,NA
1042,"Gilman, Charlotte Perkins",Herland,38,sentence,2901,3142,690:740,And yet as I looked from face to face calm grave wise wholly unafraid evidently assured and determined I had the funniest feelinga very early feelinga feeling that I traced back and back in memory until I caught up with it at last,NA
1043,"Gilman, Charlotte Perkins",Herland,39,sentence,3144,3322,741:778,It was that sense of being hopelessly in the wrong that I had so often felt in early youth when my short legs utmost effort failed to overcome the fact that I was late to school,NA
1044,"Gilman, Charlotte Perkins",Herland,40,sentence,3325,3361,779:789,Jeff felt it too I could see he did,NA
1045,"Gilman, Charlotte Perkins",Herland,41,sentence,3363,3456,790:809,We felt like small boys very small boys caught doing mischief in some gracious ladys house,NA
1046,"Gilman, Charlotte Perkins",Herland,42,sentence,3458,3496,810:816,But Terry showed no such consciousness,NA
1047,"Gilman, Charlotte Perkins",Herland,43,sentence,3498,3609,817:837,I saw his quick eyes darting here and there estimating numbers measuring distances judging chances of escape,NA
1048,"Gilman, Charlotte Perkins",Herland,44,sentence,3611,3754,838:872,He examined the close ranks about us reaching back far on every side and murmured softly to me Every one of em over forty as Im a sinner,NA
1049,"Gilman, Charlotte Perkins",Herland,45,sentence,3757,3784,873:879,Yet they were not old women,NA
1050,"Gilman, Charlotte Perkins",Herland,46,sentence,3786,3890,880:901,Each was in the full bloom of rosy health erect serene standing surefooted and light as any pugilist,NA
1051,"Gilman, Charlotte Perkins",Herland,47,sentence,3892,3952,902:918,They had no weapons and we had but we had no wish to shoot,NA
1052,"Gilman, Charlotte Perkins",Herland,48,sentence,3955,4005,919:932,Id as soon shoot my aunts muttered Terry again,NA
1053,"Gilman, Charlotte Perkins",Herland,49,sentence,4007,4040,933:941,What do they want with us anyhow,NA
1054,"Gilman, Charlotte Perkins",Herland,50,sentence,4042,4069,942:948,They seem to mean business,NA
1055,"Gilman, Charlotte Perkins",Herland,51,sentence,4071,4154,949:964,But in spite of that businesslike aspect he determined to try his favorite tactics,NA
1056,"Gilman, Charlotte Perkins",Herland,52,sentence,4156,4190,965:972,Terry had come armed with a theory,NA
1057,"Gilman, Charlotte Perkins",Herland,53,sentence,4193,4298,973:992,He stepped forward with his brilliant ingratiating smile and made low obeisance to the women before him,NA
1058,"Gilman, Charlotte Perkins",Herland,54,sentence,4300,4528,993:1042,Then he produced another tribute a broad soft scarf of filmy texture rich in color and pattern a lovely thing even to my eye and offered it with a deep bow to the tall unsmiling woman who seemed to head the ranks before him,NA
1059,"Gilman, Charlotte Perkins",Herland,55,sentence,4530,4617,1043:1061,She took it with a gracious nod of acknowledgment and passed it on to those behind her,NA
1060,"Gilman, Charlotte Perkins",Herland,56,sentence,4620,4747,1062:1086,He tried again this time bringing out a circlet of rhinestones a glittering crown that should have pleased any woman on earth,NA
1061,"Gilman, Charlotte Perkins",Herland,57,sentence,4749,4862,1087:1109,He made a brief address including Jeff and me as partners in his enterprise and with another bow presented this,NA
1062,"Gilman, Charlotte Perkins",Herland,58,sentence,4864,4927,1110:1124,Again his gift was accepted and as before passed out of sight,NA
1063,"Gilman, Charlotte Perkins",Herland,59,sentence,4930,4988,1125:1138,If they were only younger he muttered between his teeth,NA
1064,"Gilman, Charlotte Perkins",Herland,60,sentence,4990,5001,1139:1142,What on ear,NA
1065,"Gilman, Charlotte Perkins",Herland,1143,entity,1085,1089,NULL,Jeff,person
1066,"Gilman, Charlotte Perkins",Herland,1144,entity,1355,1359,NULL,Terry,person
1067,"Gilman, Charlotte Perkins",Herland,1145,entity,1765,1768,NULL,Jeff,person
1068,"Gilman, Charlotte Perkins",Herland,1146,entity,1861,1865,NULL,Terry,person
1069,"Gilman, Charlotte Perkins",Herland,1147,entity,1968,1974,NULL,Nothing,person
1070,"Gilman, Charlotte Perkins",Herland,1148,entity,4156,4160,NULL,Terry,person
1071,"Gilman, Charlotte Perkins",Herland,1149,entity,4784,4787,NULL,Jeff,person
1072,"Gilman, Charlotte Perkins",Herland,1150,entity,888,897,NULL,California,location
1073,"Gilman, Charlotte Perkins",Herland,1,sentence,1,64,55:70,rth is a fellow to say to a regiment of old Colonels like this,NA
1074,"Gilman, Charlotte Perkins",Herland,2,sentence,67,202,71:95,In all our discussions and speculations we had always unconsciously assumed that the women whatever else they might be would be young,NA
1075,"Gilman, Charlotte Perkins",Herland,3,sentence,204,239,96:105,Most men do think that way I fancy,NA
1076,"Gilman, Charlotte Perkins",Herland,4,sentence,242,300,106:121,Woman in the abstract is young and we assume charming,NA
1077,"Gilman, Charlotte Perkins",Herland,5,sentence,302,408,122:144,As they get older they pass off the stage somehow into private ownership mostly or out of it altogether,NA
1078,"Gilman, Charlotte Perkins",Herland,6,sentence,410,514,145:167,But these good ladies were very much on the stage and yet any one of them might have been a grandmother,NA
1079,"Gilman, Charlotte Perkins",Herland,7,sentence,517,558,168:174,We looked for nervousnessthere was none,NA
1080,"Gilman, Charlotte Perkins",Herland,8,sentence,561,596,175:181,For terror perhapsthere was none,NA
1081,"Gilman, Charlotte Perkins",Herland,9,sentence,599,804,182:221,For uneasiness for curiosity for excitementand all we saw was what might have been a vigilance committee of women doctors as cool as cucumbers and evidently meaning to take us to task for being there,NA
1082,"Gilman, Charlotte Perkins",Herland,10,sentence,807,916,222:247,Six of them stepped forward now one on either side of each of us and indicated that we were to go with them,NA
1083,"Gilman, Charlotte Perkins",Herland,11,sentence,918,1078,248:284,We thought it best to accede at first anyway and marched along one of these close at each elbow and the others in close masses before behind on both sides,NA
1084,"Gilman, Charlotte Perkins",Herland,12,sentence,1081,1226,285:315,A large building opened before us a very heavy thickwalled impressive place big and oldlooking of gray stone not like the rest of the town,NA
1085,"Gilman, Charlotte Perkins",Herland,13,sentence,1229,1271,316:329,This wont do said Terry to us quickly,NA
1086,"Gilman, Charlotte Perkins",Herland,14,sentence,1273,1314,330:342,We mustnt let them get us in this boys,NA
1087,"Gilman, Charlotte Perkins",Herland,15,sentence,1316,1362,343:352,All together now  We stopped in our tracks,NA
1088,"Gilman, Charlotte Perkins",Herland,16,sentence,1364,1483,353:375,We began to explain to make signs pointing away toward the big forestindicating that we would go back to itat once,NA
1089,"Gilman, Charlotte Perkins",Herland,17,sentence,1486,1672,376:411,It makes me laugh knowing all I do now to think of us three boysnothing else three audacious impertinent boysbutting into an unknown country without any sort of a guard or defense,NA
1090,"Gilman, Charlotte Perkins",Herland,18,sentence,1674,1805,412:440,We seemed to think that if there were men we could fight them and if there were only womenwhy they would be no obstacles at all,NA
1091,"Gilman, Charlotte Perkins",Herland,19,sentence,1808,1887,441:454,Jeff with his gentle romantic oldfashioned notions of women as clinging vines,NA
1092,"Gilman, Charlotte Perkins",Herland,20,sentence,1889,2056,455:484,Terry with his clear decided practical theories that there were two kinds of womenthose he wanted and those he didnt Desirable and Undesirable was his demarcation,NA
1093,"Gilman, Charlotte Perkins",Herland,21,sentence,2058,2141,485:501,The latter as a large class but negligiblehe had never thought about them at all,NA
1094,"Gilman, Charlotte Perkins",Herland,22,sentence,2144,2346,502:539,And now here they were in great numbers evidently indifferent to what he might think evidently determined on some purpose of their own regarding him and apparently well able to enforce their purpose,NA
1095,"Gilman, Charlotte Perkins",Herland,23,sentence,2349,2378,540:546,We all thought hard just then,NA
1096,"Gilman, Charlotte Perkins",Herland,24,sentence,2380,2523,547:575,It had not seemed wise to object to going with them even if we could have our one chance was friendlinessa civilized attitude on both sides,NA
1097,"Gilman, Charlotte Perkins",Herland,25,sentence,2526,2621,576:594,But once inside that building there was no knowing what these determined ladies might do to us,NA
1098,"Gilman, Charlotte Perkins",Herland,26,sentence,2623,2725,595:615,Even a peaceful detention was not to our minds and when we named it imprisonment it looked even worse,NA
1099,"Gilman, Charlotte Perkins",Herland,27,sentence,2728,2803,616:632,So we made a stand trying to make clear that we preferred the open country,NA
1100,"Gilman, Charlotte Perkins",Herland,28,sentence,2805,2918,633:657,One of them came forward with a sketch of our flier asking by signs if we were the aerial visitors they had seen,NA
1101,"Gilman, Charlotte Perkins",Herland,29,sentence,2921,2937,658:661,This we admitted,NA
1102,"Gilman, Charlotte Perkins",Herland,30,sentence,2940,3155,662:704,They pointed to it again and to the outlying country in different directionsbut we pretended we did not know where it was and in truth we were not quite sure and gave a rather wild indication of its whereabouts,NA
1103,"Gilman, Charlotte Perkins",Herland,31,sentence,3158,3277,705:727,Again they motioned us to advance standing so packed about the door that there remained but the one straight path open,NA
1104,"Gilman, Charlotte Perkins",Herland,32,sentence,3279,3385,728:746,All around us and behind they were massed solidlythere was simply nothing to do but go forwardor fight,NA
1105,"Gilman, Charlotte Perkins",Herland,33,sentence,3388,3410,747:751,We held a consultation,NA
1106,"Gilman, Charlotte Perkins",Herland,34,sentence,3413,3511,752:777,I never fought with women in my life said Terry greatly perturbed but Im not going in there,NA
1107,"Gilman, Charlotte Perkins",Herland,35,sentence,3513,3577,778:793,Im not going to beherded inas if we were in a cattle chute,NA
1108,"Gilman, Charlotte Perkins",Herland,36,sentence,3580,3624,794:807,We cant fight them of course Jeff urged,NA
1109,"Gilman, Charlotte Perkins",Herland,37,sentence,3626,3728,808:830,Theyre all women in spite of their nondescript clothes nice women too good strong sensible faces,NA
1110,"Gilman, Charlotte Perkins",Herland,38,sentence,3730,3758,831:840,I guess well have to go in,NA
1111,"Gilman, Charlotte Perkins",Herland,39,sentence,3761,3806,841:856,We may never get out if we do I told them,NA
1112,"Gilman, Charlotte Perkins",Herland,40,sentence,3808,3869,857:873,Strong and sensible yes but Im not so sure about the good,NA
1113,"Gilman, Charlotte Perkins",Herland,41,sentence,3871,3891,874:879,Look at those faces,NA
1114,"Gilman, Charlotte Perkins",Herland,42,sentence,3894,3995,880:898,They had stood at ease waiting while we conferred together but never relaxing their close attention,NA
1115,"Gilman, Charlotte Perkins",Herland,43,sentence,3998,4098,899:917,Their attitude was not the rigid discipline of soldiers there was no sense of compulsion about them,NA
1116,"Gilman, Charlotte Perkins",Herland,44,sentence,4100,4162,918:929,Terrys term of a vigilance committee was highly descriptive,NA
1117,"Gilman, Charlotte Perkins",Herland,45,sentence,4164,4318,930:961,They had just the aspect of sturdy burghers gathered hastily to meet some common need or peril all moved by precisely the same feelings to the same end,NA
1118,"Gilman, Charlotte Perkins",Herland,46,sentence,4321,4387,962:975,Never anywhere before had I seen women of precisely this quality,NA
1119,"Gilman, Charlotte Perkins",Herland,47,sentence,4389,4472,976:991,Fishwives and market women might show similar strength but it was coarse and heavy,NA
1120,"Gilman, Charlotte Perkins",Herland,48,sentence,4474,4520,992:998,These were merely athleticlight and powerful,NA
1121,"Gilman, Charlotte Perkins",Herland,49,sentence,4522,4705,999:1030,College professors teachers writersmany women showed similar intelligence but often wore a strained nervous look while these were as calm as cows for all their evident intellect,NA
1122,"Gilman, Charlotte Perkins",Herland,50,sentence,4708,4793,1031:1049,We observed pretty closely just then for all of us felt that it was a crucial moment,NA
1123,"Gilman, Charlotte Perkins",Herland,51,sentence,4796,4897,1050:1070,The leader gave some word of command and beckoned us on and the surrounding mass moved a step nearer,NA
1124,"Gilman, Charlotte Perkins",Herland,52,sentence,4900,4939,1071:1082,Weve got to decide quick said Terry,NA
1125,"Gilman, Charlotte Perkins",Herland,53,sentence,4942,4971,1083:1093,I vote to go in Jeff urged,NA
1126,"Gilman, Charlotte Perkins",Herland,54,sentence,4973,5001,1094:1100,But we were two to one agains,NA
1127,"Gilman, Charlotte Perkins",Herland,1101,entity,1251,1255,NULL,Terry,person
1128,"Gilman, Charlotte Perkins",Herland,1102,entity,3458,3462,NULL,Terry,person
1129,"Gilman, Charlotte Perkins",Herland,1103,entity,3614,3617,NULL,Jeff,person
1130,"Gilman, Charlotte Perkins",Herland,1104,entity,4934,4938,NULL,Terry,person
1131,"Gilman, Charlotte Perkins",Herland,1105,entity,4961,4964,NULL,Jeff,person
1132,"Gilman, Charlotte Perkins",Herland,1,sentence,1,34,54:62,st him and he loyally stood by us,NA
1133,"Gilman, Charlotte Perkins",Herland,2,sentence,36,99,63:78,We made one more effort to be let go urgent but not imploring,NA
1134,"Gilman, Charlotte Perkins",Herland,3,sentence,101,108,79:81,In vain,NA
1135,"Gilman, Charlotte Perkins",Herland,4,sentence,111,145,82:93,Now for a rush boys Terry said,NA
1136,"Gilman, Charlotte Perkins",Herland,5,sentence,147,197,94:110,And if we cant break em Ill shoot in the air,NA
1137,"Gilman, Charlotte Perkins",Herland,6,sentence,200,346,111:136,Then we found ourselves much in the position of the suffragette trying to get to the Parliament buildings through a triple cordon of London police,NA
1138,"Gilman, Charlotte Perkins",Herland,7,sentence,349,398,137:145,The solidity of those women was something amazing,NA
1139,"Gilman, Charlotte Perkins",Herland,8,sentence,400,508,146:168,Terry soon found that it was useless tore himself loose for a moment pulled his revolver and fired upward,NA
1140,"Gilman, Charlotte Perkins",Herland,9,sentence,510,564,169:180,As they caught at it he fired againwe heard a cry,NA
1141,"Gilman, Charlotte Perkins",Herland,10,sentence,567,765,181:219,Instantly each of us was seized by five women each holding arm or leg or head we were lifted like children straddling helpless children and borne onward wriggling indeed but most ineffectually,NA
1142,"Gilman, Charlotte Perkins",Herland,11,sentence,768,874,220:240,We were borne inside struggling manfully but held secure most womanfully in spite of our best endeavors,NA
1143,"Gilman, Charlotte Perkins",Herland,12,sentence,877,1039,241:274,So carried and so held we came into a high inner hall gray and bare and were brought before a majestic grayhaired woman who seemed to hold a judicial position,NA
1144,"Gilman, Charlotte Perkins",Herland,13,sentence,1042,1238,275:312,There was some talk not much among them and then suddenly there fell upon each of us at once a firm hand holding a wetted cloth before mouth and nosean order of swimming sweetnessanesthesia,NA
1145,"Gilman, Charlotte Perkins",Herland,14,sentence,1244,1373,313:338,CHAPTER 3 A Peculiar Imprisonment   From a slumber as deep as death as refreshing as that of a healthy child I slowly awakened,NA
1146,"Gilman, Charlotte Perkins",Herland,15,sentence,1376,1481,339:363,It was like rising up up up through a deep warm ocean nearer and nearer to full light and stirring air,NA
1147,"Gilman, Charlotte Perkins",Herland,16,sentence,1483,1548,364:375,Or like the return to consciousness after concussion of the brain,NA
1148,"Gilman, Charlotte Perkins",Herland,17,sentence,1550,1748,376:416,I was once thrown from a horse while on a visit to a wild mountainous country quite new to me and I can clearly remember the mental experience of coming back to life through lifting veils of dream,NA
1149,"Gilman, Charlotte Perkins",Herland,18,sentence,1750,1942,417:457,When I first dimly heard the voices of those about me and saw the shining snowpeaks of that mighty range I assumed that this too would pass and I should presently find myself in my own home,NA
1150,"Gilman, Charlotte Perkins",Herland,19,sentence,1945,2232,458:514,That was precisely the experience of this awakening receding waves of halfcaught swirling vision memories of home the steamer the boat the airship the forestat last all sinking away one after another till my eyes were wide open my brain clear and I realized what had happened,NA
1151,"Gilman, Charlotte Perkins",Herland,20,sentence,2235,2296,515:524,The most prominent sensation was of absolute physical comfort,NA
1152,"Gilman, Charlotte Perkins",Herland,21,sentence,2298,2472,525:566,I was lying in a perfect bed long broad smooth firmly soft and level with the finest linen some warm light quilt of blanket and a counterpane that was a joy to the eye,NA
1153,"Gilman, Charlotte Perkins",Herland,22,sentence,2474,2591,567:591,The sheet turned down some fifteen inches yet I could stretch my feet at the foot of the bed free but warmly covered,NA
1154,"Gilman, Charlotte Perkins",Herland,23,sentence,2594,2638,592:602,I felt as light and clean as a white feather,NA
1155,"Gilman, Charlotte Perkins",Herland,24,sentence,2640,2788,603:631,It took me some time to conscientiously locate my arms and legs to feel the vivid sense of life radiate from the wakening center to the extremities,NA
