,author,title,type,start,end,kind,words
653,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24569,24652,NA,They answered That the principal kinds had been there but not all the particulars
654,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24654,24801,NA,Then she would fain know how it came that both Spirits and Men did fall from a blessed into so miserable a state and condition as they are now in
51,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24675,24931,NA,But before all things she having got a Soveraign power from the Emperor over all the World desired to be informed both of the manner of their Religion and Government and to that end she called the Priests and States men to give her an account of either
655,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24803,24840,NA,The Spirits answered By disobedience
656,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24842,24900,NA,The Empress asked Whence this disobedient sin did proceed
657,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24902,25013,NA,But the Spirits desired the Empress not to ask them any such questions because they went beyond their knowledg
52,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24933,24996,NA,Of the States men she enquired first Why they had so few Laws
53,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,24998,25134,NA,To which they answered That many Laws made many Divisions which most commonly did breed Factions and at last brake out into open Wars
658,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25015,25130,NA,Then she beggd the Spirits to pardon her presumption for said she It is the nature of Mankind to be inquisitive
659,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25132,25263,NA,Natural desire of knowledg answered the Spirits is not blameable so you do not go beyond what your Natural Reason can comprehend
54,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25136,25223,NA,Next she asked Why they preferred the Monarchical form of Government before any other
55,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25225,25452,NA,They answered That as it was natural for one Body to have but one Head so it was also natural for a Politick body to have but one Governor and that a Commonwealth which had many Governors was like a Monster with many Heads
982,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,25242,25247,person,Reason
660,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25265,25421,NA,Then Ile ask no more said the Empress for fear I should commit some error but one thing I cannot but acquaint you withal What is that said the Spirits
384,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,25292,25295,location,Head
661,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25423,25485,NA,I have a great desire answered the Empress to make a Cabbala
56,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25454,25723,NA,Besides said they a Monarchy is a divine form of Government and agrees most with our Religion For as there is but one God whom we all unanimously worship and adore with one Faith so we are resolved to have but one Emperor to whom we all submit with one obedience
662,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25487,25525,NA,What kind of Cabbala asked the Spirits
663,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25527,25565,NA,The Empress answered The Jews Cabbala
664,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25567,26360,NA,No sooner had the Empress declared her Mind but the Spirits immediately disappeared out of her sight which startled the Empress so much that she fell into a Trance wherein she lay for some while at last being come to her self again she grew very studious and considering with her self what might be the cause of this strange dysaster conceived at first that perhaps the Spirits were tired with hearing and giving answers to her Questions but thinking by her self That Spirits could not be tired she imagined that this was not the true cause of their disappearing till after divers debates with her own thoughts she did verily believe that the Spirits had committed some fault in their answers and that for their punishment they were condemned to the lowest and darkest Vehicles
57,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25726,25877,NA,Then the Empress seeing that the several sorts of her Subjects had each their Churches apart asked the Priests whether they were of several Religions
58,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,25879,26136,NA,They answered her Majesty That there was no more but one Religion in all that World nor no diversity of opinions in that same Religion for though there were several sorts of men yet had they all but one opinion concerning the Worship and Adoration of God
59,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26138,26206,NA,The Empress asked them Whether they were Jews Turks or Christians
60,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26208,26397,NA,We do not know said they what Religions those are but we do all unanimously acknowledg worship and adore the Onely Omnipotent and Eternal God with all reverence submission and duty
665,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26362,26545,NA,This belief was so fixt in her mind that it put her into a very Melancholick humor and then she sent both for her Flymen and Wormmen and declared to them the cause of her sadness
61,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26399,26469,NA,Again the Empress enquired Whether they had several Forms of Worship
62,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26471,26643,NA,They answered No For our Devotion and Worship consists onely in Prayers which we frame according to our several Necessities in Petitions Humiliations Thanksgiving c
666,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26547,26800,NA,Tis not so much said she the vanishing of those Spirits that makes me Melancholick but that I should be the cause of their miserable condition and that those harmless Spirits should for my sake sink down into the black and dark abyss of the Earth
63,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26645,26845,NA,Truly replied the Empress I thought you had been either Jews or Turks because I never perceived any Women in your Congregations But what is the reason you bar them from your religious Assemblies
310,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,26645,26649,person,Truly
311,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,26703,26706,person,Jews
667,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26802,27249,NA,The Wormmen comforted the Empress telling her That the Earth was not so horrid a Dwelling as she did imagine for said they not onely all Minerals and Vegetables but several sorts of Animals can witness that the Earth is a warm fruitful quiet safe and happy habitation and though they want the light of the Sun yet are they not in the dark but there is light even within the Earth by which those Creatures do see that dwell therein
64,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,26847,27075,NA,It is not fit said they that Men and Women should be promiscuously together in time of Religious Worship for their company hinders Devotion and makes many instead of praying to God direct their Devotion to their Mistresses
1053,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,26860,26864,location,Earth
1054,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,27022,27026,location,Earth
65,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27077,27292,NA,But asked the Empress Have they no Congregation of their own to perform the duties of Divine Worship as well as Men No answered they but they stay at home and say their Prayers by themselves in their Closets
1055,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,27122,27124,location,Sun
1056,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,27192,27196,location,Earth
668,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27251,27577,NA,This relation setled her Majesties mind a little but yet she being desirous to know the Truth where and in what condition those Spirits were commanded both the Fly and Wormmen to use all labour and industry to find them out whereupon the Wormmen straight descended into the Earth and the Flymen ascended into the Air
66,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27294,27400,NA,Then the Empress desird to know the reason why the Priests and Governors of their World were made Eunuchs
67,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27402,27523,NA,They answerd To keep them from Marriage For Women and Children most commonly make disturbance both in Church and State
385,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,27518,27522,location,State
68,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27525,27596,NA,But said she Women and Children have no Employment in Church or State
1057,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,27533,27537,location,Earth
669,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27579,28034,NA,After some short time the Wormmen returned and told the Empress that when they went into the Earth they inquired of all the Creatures they met withal Whether none of them had perceived such or such Spirits until at last coming to the very Center of the Earth they were truly informed that those Spirits had stayed some time there but at last were gone to the Antipodes on the other side of the Terrestrial Globe diametrically opposite to theirs
69,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27598,27892,NA,Tis true answerd they but although they are not admitted to publick Employments yet are they so prevalent with their Husbands and Parents that many times by their importunate perswasions they cause as much nay more mischief secretly then if they had the management of publick Affairs
1058,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,27676,27680,location,Earth
1059,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,27839,27843,location,Earth
70,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,27895,28192,NA,The Empress having received an information of what concerned both Church and State passed some time in viewing the Imperial Palace where she admired much the skil and ingenuity of the Architects and enquired of them first Why they built their Houses no higher then two stories from the Ground
386,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,28011,28025,location,Imperial Palace
670,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28036,28825,NA,The Flymen seconded the Wormmen assuring her Majesty that their relation was very true for said they We have rounded the Earth and just when we came to the Antipodes we met those Spirits in a very good condition and acquainted them that your Majesty was very much troubled at their sudden departure and feard they should be buried in the darkness of the Earth whereupon the Spirits answered us That they were sorry for having occasioned such sadness and trouble in your Majesty and desired us to tell your Majesty that they feared no darkness for their Vehicles were of such a sort of substance as Cats eyes Glowworms tails and rotten Wood carrying their light along with them and that they were ready to do your Majesty what service they could in making your Cabbala
1060,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,28163,28167,location,Earth
71,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28194,28343,NA,They answered her Majesty That the lower their Buildings were the less were they subject either to the heat of the Sun or Wind Tempest Decay c
387,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,28311,28313,location,Sun
72,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28345,28409,NA,Then she desired to know the reason why they made them so thick
1061,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,28401,28405,location,Earth
73,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28411,28565,NA,They answered That the thicker the Walls were the warmer they were in Winter the cooler in Summer for their thickness kept out both the Cold and Heat
74,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28567,28639,NA,Lastly she asked Why they Arched their Roofs and made so many Pillars
75,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28641,28792,NA,They replied That Arches and Pillars did not onely grace a Building very much and caused it to appear Magnificent but made it also firm and lasting
76,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28795,29235,NA,The Empress was very well satisfied with their answers and after some time when she thought that her new founded societies of the Vertuosos had made a good progress in the several Employments she had put them upon she caused a Convocation first of the Birdmen and commanded them to give her a true relation of the two Cœlestial Bodies viz the Sun and Moon which they did with all the obedience and faithfulness befitting their duty
671,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28827,28930,NA,At which Relation the Empress was exceedingly glad and rewarded both her Fly and Wormmen bountifully
672,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,28933,29157,NA,After some time when the Spirits had refreshed themselves in their own Vehicles they sent one of their nimblest Spirits to ask the Empress Whether she would have a Scribe or whether she would write the Cabbala her self
388,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29146,29148,location,Sun
389,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29154,29157,location,Moon
673,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29159,29282,NA,The Empress received the proffer which they made her with all civility and told them that she desired a Spiritual Scribe
77,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29238,29857,NA,The Sun as much as they could observe they related to be a firm or solid Stone of a vast bigness of colour yellowish and of an extraordinary splendor But the Moon they said was of a whitish colour and although she looked dim in the presence of the Sun yet had she her own light and was a shining body of her self as might be perceived by her vigorous appearance in Moonshinynights the difference onely betwixt her own and the Suns light was that the Sun did strike his beams in a direct line but the Moon never respected the Centre of their World in a right line but her Centre was always excentrical
390,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29242,29244,location,Sun
674,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29284,29409,NA,The Spirits answerd That they could dictate but not write except they put on a hand or arm or else the whole body of Man
391,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29402,29405,location,Moon
675,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29411,29485,NA,The Empress replied How can Spirits arm themselves with gantlets of Flesh
676,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29487,29557,NA,As well answered they as Man can arm himself with a gantlet of steel
392,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29495,29497,location,Sun
677,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29559,29615,NA,If it be so said the Empress then I will have a Scribe
678,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29617,29702,NA,Then the Spirits asked her Whether she would have the Soul of a living or a dead Man
393,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29679,29681,location,Sun
679,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29704,29787,NA,Why said the Empress can the Soul quit a living Body and wander or travel abroad
394,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29705,29707,location,Sun
395,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29756,29759,location,Moon
680,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29789,29937,NA,Yes answered they for according to Platos Doctrine there is a Conversation of Souls and the Souls of Lovers live in the Bodies of their Beloved
983,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29826,29830,person,Plato
78,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29859,30008,NA,The Spots both in the Sun and Moon as far as they were able to perceive they affirmed to be nothing else but flaws and stains of their stony Bodies
396,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29881,29883,location,Sun
397,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,29889,29892,location,Moon
681,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,29939,30072,NA,Then I will have answered she the Soul of some ancient famous Writer either of Aristotle Pythagoras Plato Epicurus or the like
79,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30010,30318,NA,Concerning the heat of the Sun they were not of one opinion some would have the Sun hot in it self alledging an old Tradition that it should at some time break asunder and burn the Heavens and consume this world into hot Embers which said they could not be done if the Sun were not fiery of it self
398,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,30037,30039,location,Sun
984,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,30044,30048,person,Plato
682,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30074,30265,NA,The Spirits said That those famous Men were very learned subtile and ingenious Writers but they were so wedded to their own opinions that they would never have the patience to be Scribes
399,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,30092,30094,location,Sun
683,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30267,30417,NA,Then said she Ile have the Soul of one of the most famous modern Writers as either of Galileo Gassendus Des Cartes Helmont Hobbes H More c
80,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30320,30821,NA,Others again said This opinion could not stand with reason for Fire being a destroyer of all things the SunStone after this manner would burn up all the near adjoining Bodies Besides said they Fire cannot subsist without fuel and the SunStone having nothing to feed on would in a short time consume it self wherefore they thought it more probable that the Sun was not actually hot but onely by the reflection of its light so that its heat was an effect of its light both being immaterial
684,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30419,30553,NA,The Spirits answered That they were fine ingenious Writers but yet so selfconceited that they would scorn to be Scribes to a Woman
685,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30555,30864,NA,But said they theres a Lady the Duchess of Newcastle which although she is not one of the most learned eloquent witty and ingenious yet she is a plain and rational Writer for the principle of her Writings is Sense and Reason and she will without question be ready to do you all the service she can
985,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,30783,30788,person,Reason
81,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30823,31397,NA,But this opinion again was laught at by others and rejected as ridiculous who thought it impossible that one immaterial should produce another and believed that both the light and heat of the Sun proceeded from a swift Circular motion of the Æthereal Globules which by their striking upon the Optick nerve caused light and their motion produced heat But neither would this opinion hold for said some then it would follow that the sight of Animals is the cause of light and that were there no eyes there would be no light which was against all sense and reason
686,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,30866,31007,NA,That Lady then said the Empress will I chuse for my Scribe neither will the Emperor have reason to be jealous she being one of my own sex
687,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31009,31186,NA,In truth said the Spirit Husbands have reason to be jealous of Platonick Lovers for they are very dangerous as being not onely intimate and close but subtil and insinuating
400,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,31180,31182,location,But
688,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31188,31469,NA,You say well replied the Empress wherefore I pray send me the Duchess of Newcastles Soul which the Spirit did and after she came to wait on the Empress at her first arrival the Empress imbraced and saluted her with a Spiritual kiss then she asked her whether she could write
82,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31399,31674,NA,Thus they argued concerning the heat and light of the Sun but which is remarkable none did say that the Sun was a Globous fluid body and had a swift Circular motion but all agreed It was fixt and firm like a Center and therefore they generally called it the SunStone
401,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,31453,31455,location,Sun
689,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31471,31685,NA,Yes answered the Duchesss Soul but not so intelligibly that any Reader whatsoever may understand it unless he be taught to know my Characters for my Letters are rather like Characters then well formed Letters
83,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31677,31922,NA,Then the Empress asked them the reason Why the Sun and Moon did often appear in different postures or shapes as sometimes magnified sometimes diminished sometimes elevated otherwhiles depressed now thrown to the right and then to the left
690,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31687,31765,NA,Said the Empress you were recommended to me by an honest and ingenious Spirit
402,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,31725,31727,location,Sun
691,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31767,31838,NA,Surely answered the Duchess the Spirit is ignorant of my handwriting
986,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,31767,31772,person,Surely
692,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31840,32084,NA,The truth is said the Empress he did not mention your handwriting but he informed me that you writ Sense and Reason and if you can but write so that any of my Secretaries may learn your hand they shall write it out fair and intelligible
84,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,31924,32283,NA,To which some of the Birdmen answered That it proceeded from the various degrees of heat and cold which are found in the Air from whence did follow a differing density and rarity and likewise from the vapours that are interposed whereof those that ascend are higher and less dense then the ambient air but those which descend are heavier and more dense
987,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,31954,31959,person,Reason
1062,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,32006,32016,location,Secretaries
693,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32086,32178,NA,The Duchess answered That she questioned not but it might easily be learned in a short time
694,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32180,32257,NA,But said she to the Empress What is it that your Majesty would have written
695,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32259,32289,NA,she answered The Jews Cabbala
85,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32285,32690,NA,But others did with more probability affirm that it was nothing else but the various patterns of the Air for like as Painters do not copy out one and the same original just alike at all times so said they do several parts of the Air make different patterns of the luminous Bodies of the Sun and Moon which patterns as several copies the sensitive motions do figure out in the substance of our eyes
696,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32291,32484,NA,Then your onely way for that is said the Duchess to have the Soul of some famous Jew nay if your Majesty please I scruple not but you may as easily have the Soul of Moses as of any other
988,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,32462,32466,person,Moses
697,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32486,32557,NA,That cannot be replied the Empress for no Mortal knows where Moses is
989,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,32549,32553,person,Moses
698,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32559,32889,NA,But said the Duchess humane Souls are immortal however if this be too difficult to be obtained you may have the Soul of one of the chief Rabbies or Sages of the Tribe of Levi who will truly instruct you in that mystery when as otherwise your Majesty will be apt to mistake and a thousand to one will commit gross errors
403,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,32577,32579,location,Sun
404,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,32585,32588,location,Moon
86,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32693,32851,NA,This answer the Empress liked much better then the former and enquired further What opinion they had of those Creatures that are called the motes of the Sun
405,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,32848,32850,location,Sun
87,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32853,33401,NA,To which they answered That they were nothing else but streams of very small rare and transparent particles through which the Sun was represented as through a glass for if they were not transparent said they they would eclipse the light of the Sun and if not rare and of an airy substance they would hinder Flies from flying in the Air at least retard their flying motion Nevertheless although they were thinner then the thinnest vapour yet were they not so thin as the body of air or else they would not be perceptible by animal sight
699,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32891,32949,NA,No said the Empress for I shall be instructed by Spirits
700,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,32951,33239,NA,Alas said the Duchess Spirits are as ignorant as Mortals in many cases for no created Spirits have a general or absolute knowledg nor can they know the Thoughts of Men much less the Mysteries of the great Creator unless he be pleased to inspire into them the gift of Divine Knowledg
406,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,32982,32984,location,Sun
407,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,33103,33105,location,Sun
701,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,33241,33310,NA,Then I pray said the Empress let me have your counsel in this case
702,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,33312,34337,NA,The Duchess answered If your Majesty will be pleased to hearken to my advice I would desire you to let that work alone for it will be of no advantage either to you or your people unless you were of the Jews Religion nay if you were the vulgar interpretation of the holy Scripture would be more instructive and more easily believed then your mystical way of interpreting it for had it been better and more advantagious for the Salvation of the Jews surely Moses would have saved after Ages that labour by his own Explanation he being not onely a wise but a very honest zealous and religious Man Wherefore the best way said she is to believe with the generality the literal sense of the Scripture and not to make interpretations every one according to his own fancy but to leave that work for the Learned or those that have nothing else to do Neither do I think said she that God will damn those that are ignorant therein or suffer them to be lost for want of a Mystical interpretation of the Scripture
88,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,33403,33461,NA,Then the Empress asked Whether they were living Creatures
89,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,33463,33596,NA,They answered Yes Because they did encrease and decrease and were nourished by the presence and starved by the absence of the Sun
408,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,33593,33595,location,Sun
90,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,33599,33714,NA,Having thus finished their discourse of the Sun and Moon the Empress desired to know what Stars there were besides
409,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,33643,33645,location,Sun
410,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,33651,33654,location,Moon
91,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,33716,34071,NA,But they answerd that they could perceive in that World none other but Blazing Stars and from thence it had the name that it was called the BlazingWorld and these BlazingStars said they were such solid firm and shining bodies as the Sun and Moon not of a Globular but of several sorts of figures some had tails and some other kinds of shapes
990,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,33779,33783,person,Moses
411,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,33958,33960,location,Sun
412,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,33966,33969,location,Moon
92,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34074,34156,NA,After this The Empress asked them What kind of substance or creature the Air was
93,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34158,34642,NA,The Birdmen answered That they could have no other perception of the Air but by their own Respiration For said they some bodies are onely subject to touch others onely to sight and others onely to smell but some are subject to none of our exterior Senses For Nature is so full of variety that our weak Senses cannot perceive all the various sorts of her Creatures neither is there any one object perceptible by all our Senses no more then several objects are by one sense
703,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34339,34421,NA,Then said the Empress Ile leave the Scripture and make a Philosophical Cabbala
704,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34423,34659,NA,The Duchess told her That Sense and Reason would instruct her of a Nature as much as could be known and as for Numbers they were infinite but to add nonsense to infinite would breed a confusion especially in Humane Understanding
991,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,34461,34466,person,Reason
94,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34644,34844,NA,I believe you replied the Empress but if you can give no account of the Air said she you will hardly be able to inform me how Wind is made for they say that Wind is nothing but motion of the Air
705,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34661,34713,NA,Then replied the Empress Ile make a Moral Cabbala
706,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34715,34855,NA,The onely thing answered the Duchess in Morality is but To fear God and to love his Neighbour and this needs no further interpretation
95,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34846,35493,NA,The Birdmen answerd That they observed Wind to be more dense then Air and therefore subject to the sense of Touch but what properly Wind was and the manner how it was made they could not exactly tell some said it was caused by the Clouds falling on each other and others that it was produced of a hot and dry exhalation which ascending was driven down again by the coldness of the Air that is in the middle Region and by reason of its leightness could not go directly to the bottom but was carried by the Air up and down Some would have it a flowing Water of the Air and others again a flowing Air moved by the blaz of the Stars
707,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34857,34913,NA,But then Ile make a Political Cabbala said the Empress
708,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,34915,35273,NA,The Duchess answered That the chief and onely ground in Government was but Reward and Punishment and required no further Cabbala But said she If your Majesty were resolved to make a Cabbala I would advise you rather to make a Poetical or Romancical Cabbala wherein you may use Metaphors Allegories Similitudes c and interpret them as you please
992,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,35003,35012,person,Punishment
709,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,35275,35905,NA,With that the Empress thankd the Duchess and embracing her Soul told her she would take her Counsel she made her also her Favourite and kept her sometime in that World and by this means the Duchess came to know and give this Relation of all that passed in that rich populous and happy World and after some time the Empress gave her leave to return to her Husband and Kindred into her Native World but upon condition that her Soul should visit her now and then which she did and truly their meeting did produce such an intimate friendship between them that they became Platonick Lovers although they were both Femals
96,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,35496,35619,NA,But the Empress seeing they could not agree concerning the cause of Wind asked Whether they could tell how Snow was made
413,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,35565,35568,location,Wind
97,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,35621,36002,NA,To which they answered That according to their observation Snow was made by a commixture of Water and some certain extract of the Element of Fire that is under the Moon a small portion of which extract being mixed with Water and beaten by Air or Wind made a white Froth called Snow which being after some while dissolved by the heat of the same spirit turned to Water again
